"ID","a","b","c","d","e","f","g","h","i","j","k","l","m","n","o","p","q"
"sub1",,,3,,,,,5,,,1,4,,,,2,
"sub2",,,,3,,5,,,,,,1,,2,,,4
"sub3",4,,,,2,,3,,,,,,,,,5,1
"sub4",,,,,2,,5,4,,,,1,,3,,,
"sub5",,,,5,,,2,,4,,1,,,,,3,
"sub6",,4,,,,,,,2,,1,,5,3,,,
"sub7",3,,,,,4,,,,,1,,,,2,5,
"sub8",,,,,2,,4,,1,,3,,,,,5,
"sub9",,3,,,,,,,1,5,,,4,,,,2
"sub10",,,,4,,,,,,3,,,5,,2,1,
"sub11",,5,,4,,,2,,1,,,,,3,,,
"sub12",,,2,5,,,,,,,,,3,4,,,1
"sub13",,,,5,,,,,,,,1,,3,2,,4
"sub14",,3,4,,,5,,,,,,,,,2,,1
"sub15",4,,,,5,,,2,1,,,,,,,,3
"sub16",5,,,2,4,,,,,,1,,,,3,,
"sub17",,4,,,3,1,5,,,,,,,2,,,
"sub18",,,,,1,2,,,3,5,,,,,,4,
"sub19",,,4,,,,3,,1,,2,,,,5,,
"sub20",,,2,,,,1,,,3,4,5,,,,,
"sub21",5,4,,,,2,,,,,1,,,,,,3
"sub22",,,,,1,,3,2,,,5,,,,4,,
"sub23",1,,,,4,,,,,,,,3,,2,,5
"sub24",,,5,,,,,,,,,1,4,2,,3,
"sub25",2,5,,,,3,,,,,,,,,,1,4
"sub26",,2,,5,,,4,,,,,,,,3,,1
"sub27",,,,,3,2,,,5,,,,,4,,1,
"sub28",,,5,,,,,4,,,1,,,2,,3,
"sub29",2,,,,,3,,,1,,5,4,,,,,
"sub30",,,,,,,1,,,4,,3,,,2,,5
"sub31",,,3,,,,,,,5,,1,,4,,,2
"sub32",3,,,,,,,,2,5,,1,,,4,,
"sub33",,2,,,4,,1,5,,,,,,3,,,
"sub34",,,3,1,,,,4,,,5,,,,,,2
"sub35",1,4,,,,,,2,,,,,,,3,5,
"sub36",,5,,3,,4,1,2,,,,,,,,,
"sub37",,,4,,3,,,,,,,1,2,5,,,
"sub38",,,,4,,,,3,,,,2,,1,5,,
"sub39",5,,,,1,4,,2,,,,,,3,,,
"sub40",,,,,4,2,5,1,,,,,,,3,,
"sub41",,1,,,,3,,5,,,,4,2,,,,
"sub42",,,,,,3,,,,,,1,5,,2,,4
"sub43",,,,,,,,,,,1,,3,,4,2,5
"sub44",,4,,,,,,,,,2,,,5,3,,1
"sub45",2,3,,,,,4,,1,,,,,,,,5
"sub46",,3,,,4,,,,,5,1,,,,,,2
"sub47",,2,1,,5,,,,,3,,4,,,,,
"sub48",,2,,,1,3,,,,,5,4,,,,,
"sub49",,,,1,,,,3,,,,2,,,,4,5
"sub50",3,,,,,,,5,,1,,,4,,,2,
"sub51",,,1,3,4,,,,2,,,,,,,5,
"sub52",,,1,,,,,,,4,5,,,,2,3,
"sub53",,,,2,5,,,,,1,,3,,,,4,
"sub54",,,,3,,,,,4,,,1,,2,,5,
"sub55",,,2,,,,4,,,,,,1,3,5,,
"sub56",,,,,,,,,3,,1,5,4,2,,,
"sub57",,,4,,2,,1,,,,,3,,,,,5
